Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
145,Emerson\Emerson,br BRA,DF,Betis,22-125,1999,32.2,60,1.86,53,4,1,0,1,1,4,0.12,4,0,0,0,0,0,Matches
146,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,23-352,1997,24.7,36,1.46,21,0,4,5,3,3,8,0.32,2,0,2,1,2,1,Matches
147,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,31-082,1990,14.8,30,2.03,21,0,0,7,1,1,3,0.20,1,0,0,2,0,0,Matches
148,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,25-234,1995,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,23-056,1998,9.5,23,2.42,17,0,2,0,3,1,3,0.32,2,0,1,0,0,0,Matches
150,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,31-259,1989,5.5,10,1.83,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,29-134,1992,28.9,22,0.76,16,4,1,0,0,1,5,0.17,4,0,1,0,0,0,Matches
152,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,22-137,1999,2.6,3,1.17,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
153,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,23-118,1998,13.0,28,2.16,24,0,1,1,2,0,3,0.23,2,0,0,0,1,0,Matches
154,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,33-200,1987,9.8,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
155,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,24-291,1996,27.3,84,3.08,48,17,7,3,6,3,5,0.18,4,0,0,1,0,0,Matches
156,Fali\Fali,es ESP,DFMF,Cádiz,27-280,1993,28.3,20,0.71,15,0,2,2,1,0,3,0.11,1,0,1,1,0,0,Matches
157,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,18-200,2002,4.8,19,3.97,12,1,1,0,5,0,2,0.42,0,0,1,0,1,0,Matches
158,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27-305,1993,28.1,136,4.83,76,18,18,7,16,1,17,0.60,9,3,3,0,2,0,Matches
159,Felipe\Felipe,br BRA,DF,Atlético Madrid,32-003,1989,21.9,8,0.37,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
160,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,21-190,1999,17.2,45,2.62,32,0,5,4,4,0,10,0.58,7,0,1,1,1,0,Matches
161,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,30-016,1991,29.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
162,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,28-216,1992,21.6,40,1.85,19,20,0,0,1,0,4,0.18,3,1,0,0,0,0,Matches
163,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,23-036,1998,21.0,3,0.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
164,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,34-153,1986,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
165,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,35-039,1986,3.5,1,0.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
166,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,24-362,1996,1.6,5,3.15,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
167,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,24-362,1996,4.1,10,2.41,7,0,0,1,2,0,3,0.72,2,0,0,1,0,0,Matches
168,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,24-353,1996,23.0,12,0.52,9,0,0,2,1,0,3,0.13,1,0,0,1,1,0,Matches
169,Fernando\Fernando,br BRA,MF,Sevilla,33-298,1987,28.3,36,1.27,33,1,1,0,0,1,10,0.35,9,0,1,0,0,0,Matches
170,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,33-048,1988,27.1,101,3.72,59,31,4,2,5,0,11,0.41,8,2,0,1,0,0,Matches
171,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,30-066,1991,3.3,2,0.60,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
172,Fidel\Fidel,es ESP,MFDF,Elche,31-204,1989,25.6,68,2.65,37,22,4,1,4,0,5,0.20,4,1,0,0,0,0,Matches
173,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,24-270,1996,2.7,8,2.95,6,0,0,0,1,1,1,0.37,1,0,0,0,0,0,Matches
174,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,22-241,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
175,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,31-227,1989,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
176,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,21-097,2000,7.2,4,0.55,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
177,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,28-057,1993,28.6,22,0.77,17,2,0,1,2,0,5,0.17,4,0,0,1,0,0,Matches
178,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,23-127,1998,13.0,11,0.85,10,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
179,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,24-088,1997,23.3,67,2.88,45,5,4,1,7,5,16,0.69,10,1,1,0,2,2,Matches
180,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,30-075,1991,8.1,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
181,Javi Galán\Javi-Galan,es ESP,DF,Huesca,26-181,1994,34.1,69,2.03,51,9,3,0,6,0,7,0.21,4,3,0,0,0,0,Matches
182,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,34-249,1986,8.2,16,1.95,13,0,0,1,2,0,3,0.37,2,0,0,1,0,0,Matches
183,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,34-010,1987,12.0,14,1.17,10,0,0,2,2,0,2,0.17,2,0,0,0,0,0,Matches
184,Aleix García\Aleix-Garcia,es ESP,MF,Eibar,23-325,1997,4.9,12,2.47,7,5,0,0,0,0,1,0.21,0,1,0,0,0,0,Matches
185,Borja García\Borja-Garcia,es ESP,MFFW,Huesca,30-198,1990,12.3,38,3.08,33,0,2,1,2,0,0,0.00,0,0,0,0,0,0,Matches
186,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,30-360,1990,21.3,18,0.84,15,1,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
187,David García\David-Garcia,es ESP,DF,Osasuna,27-094,1994,34.0,8,0.24,7,0,0,0,0,1,1,0.03,0,0,0,0,0,1,Matches
188,Manu García\Manu-Garcia,es ESP,MF,Alavés,35-023,1986,11.5,9,0.78,5,0,0,1,2,1,1,0.09,0,0,0,0,1,0,Matches
189,Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,34-312,1986,19.4,33,1.70,26,0,1,0,5,1,2,0.10,2,0,0,0,0,0,Matches
190,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,32-019,1989,5.6,8,1.43,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
191,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27-309,1993,30.2,79,2.62,48,22,2,0,5,2,9,0.30,6,1,0,0,1,1,Matches
192,Sergi García\Sergi-Garcia,es ESP,MF,Alavés,22-035,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
193,Unai García\Unai-Garcia,es ESP,DF,Osasuna,29-105,1992,13.2,8,0.61,5,1,0,2,0,0,1,0.08,1,0,0,0,0,0,Matches
194,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,30-176,1990,19.6,31,1.58,25,0,1,1,2,2,4,0.20,3,0,0,0,1,0,Matches
195,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,29-137,1992,7.0,4,0.57,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
196,David Gil\David-Gil,es ESP,GK,Cádiz,27-128,1994,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
197,Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,30-000,1991,4.5,3,0.66,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
198,Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22-293,1998,17.8,28,1.58,20,0,3,2,3,0,6,0.34,3,0,0,2,1,0,Matches
199,Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,31-189,1989,3.9,8,2.04,6,2,0,0,0,0,2,0.51,1,1,0,0,0,0,Matches
200,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,24-278,1996,29.0,46,1.59,26,0,2,5,12,1,11,0.38,3,0,0,3,5,0,Matches
201,Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26-330,1994,28.4,61,2.15,46,6,6,2,1,0,4,0.14,3,1,0,0,0,0,Matches
202,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Sevilla,33-093,1988,10.0,35,3.51,20,5,4,0,5,1,2,0.20,1,0,0,0,1,0,Matches
203,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,29-052,1992,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
204,Sergio Gómez\Sergio-Gomez,es ESP,MFFW,Huesca,20-257,2000,7.8,15,1.92,9,5,0,1,0,0,1,0.13,1,0,0,0,0,0,Matches
205,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,32-070,1989,16.4,21,1.28,16,0,1,1,2,1,2,0.12,2,0,0,0,0,0,Matches
206,Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30-360,1990,25.1,4,0.16,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
207,Diego González\Diego-Gonzalez,es ESP,DF,Elche,26-111,1995,14.2,4,0.28,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
208,Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,24-005,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
209,Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,20-060,2001,0.5,1,1.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
210,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,24-288,1996,25.5,50,1.96,39,7,0,1,3,0,6,0.24,6,0,0,0,0,0,Matches
211,Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,30-059,1991,27.9,85,3.04,73,3,3,2,3,1,10,0.36,9,0,0,0,1,0,Matches
212,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,34-233,1986,13.9,23,1.65,21,0,0,0,1,1,1,0.07,1,0,0,0,0,0,Matches
213,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29-355,1991,19.6,27,1.38,18,0,3,1,3,2,5,0.25,3,0,1,0,1,0,Matches
214,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MF,Sevilla,29-184,1991,10.6,7,0.66,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
215,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,24-171,1996,24.6,81,3.30,50,0,12,4,14,1,16,0.65,12,0,1,1,1,1,Matches
216,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,23-316,1997,22.1,25,1.13,23,0,1,1,0,0,3,0.14,2,0,0,1,0,0,Matches
217,John Guidetti\John-Guidetti,se SWE,FWMF,Alavés,29-034,1992,1.5,3,2.06,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
218,Hugo Guillamón\Hugo-Guillamon,es ESP,DF,Valencia,21-108,2000,21.1,5,0.24,3,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
219,Jon Guridi\Jon-Guridi,es ESP,MF,Real Sociedad,26-080,1995,9.2,10,1.08,6,0,0,1,3,0,1,0.11,1,0,0,0,0,0,Matches
220,Raúl Guti\Raul-Guti,es ESP,MF,Elche,24-140,1996,30.8,25,0.81,18,0,2,1,3,1,4,0.13,1,0,0,1,2,0,Matches
221,Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,30-130,1991,20.3,4,0.20,3,0,0,1,0,0,1,0.05,0,0,0,1,0,0,Matches
222,Miguel Gutiérrez\Miguel-Gutierrez,es ESP,DF,Real Madrid,19-296,2001,2.8,6,2.17,4,1,0,0,1,0,1,0.36,1,0,0,0,0,0,Matches
223,Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,25-260,1995,9.4,25,2.66,15,3,3,1,3,0,3,0.32,3,0,0,0,0,0,Matches
224,Eden Hazard\Eden-Hazard,be BEL,FWMF,Real Madrid,30-132,1991,5.9,19,3.21,12,1,4,0,2,0,3,0.51,2,0,1,0,0,0,Matches
225,Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25-335,1995,28.0,25,0.89,24,1,0,0,0,0,3,0.11,3,0,0,0,0,0,Matches
226,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,32-057,1989,22.5,8,0.36,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
227,Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,31-030,1990,7.5,17,2.26,12,2,1,2,0,0,3,0.40,1,1,0,1,0,0,Matches
228,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27-348,1993,32.9,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
229,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,23-132,1998,25.7,35,1.36,28,0,0,3,3,1,3,0.12,1,0,0,0,1,1,Matches
230,Pablo Hervías\Pablo-Hervias,es ESP,DFMF,Valladolid,28-072,1993,13.3,46,3.46,31,12,1,1,0,1,8,0.60,5,1,1,1,0,0,Matches
231,Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,21-251,1999,1.6,2,1.24,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
232,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,33-123,1988,10.3,10,0.97,9,0,0,0,0,1,1,0.10,1,0,0,0,0,0,Matches
233,Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,25-082,1996,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
234,Iglesias\Iglesias,es ESP,DFMF,Getafe,22-320,1998,5.7,8,1.40,4,0,2,0,1,1,2,0.35,1,0,0,0,0,1,Matches
235,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,28-122,1993,14.8,23,1.56,14,1,0,3,4,1,5,0.34,1,0,0,1,3,0,Matches
236,Ilaix\Ilaix,es ESP,MF,Barcelona,18-120,2003,5.4,14,2.58,10,0,2,1,1,0,3,0.55,2,0,1,0,0,0,Matches
237,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,31-072,1990,3.7,5,1.34,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
238,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,27-252,1993,17.6,8,0.45,8,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
239,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,32-351,1988,19.2,37,1.93,23,1,8,4,1,0,0,0.00,0,0,0,0,0,0,Matches
240,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,21-240,1999,25.0,47,1.88,23,1,8,5,9,1,6,0.24,3,0,0,1,2,0,Matches
241,Isco\Isco,es ESP,MFFW,Real Madrid,29-028,1992,9.7,39,4.02,29,5,2,3,0,0,3,0.31,2,1,0,0,0,0,Matches
242,Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,27-209,1993,13.9,14,1.00,10,2,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
243,Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,25-209,1995,12.7,14,1.11,14,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
244,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,26-103,1995,11.2,52,4.66,32,10,5,1,4,0,8,0.72,6,1,0,0,1,0,Matches
245,Jason\Jason,es ESP,MFDF,Valencia,26-317,1994,4.9,10,2.04,9,0,1,0,0,0,1,0.20,1,0,0,0,0,0,Matches
246,Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,23-168,1997,17.7,42,2.38,22,0,7,4,6,3,8,0.45,3,0,1,2,1,1,Matches
247,Joaquín\Joaquin,es ESP,FWMF,Betis,39-302,1981,14.3,47,3.28,35,9,1,1,1,0,8,0.56,6,2,0,0,0,0,Matches
248,John Joe\John-Joe,ie IRL,MFDF,Getafe,17-237,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
249,Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,24-007,1997,34.2,85,2.48,74,2,2,2,5,0,7,0.20,6,0,0,1,0,0,Matches
250,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,30-265,1990,13.9,25,1.80,18,0,1,3,3,0,1,0.07,1,0,0,0,0,0,Matches
251,Jony\Jony,es ESP,MFFW,Osasuna,29-314,1991,9.6,42,4.40,30,4,5,0,2,1,3,0.31,3,0,0,0,0,0,Matches
252,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,26-317,1994,26.1,71,2.72,56,11,2,1,0,1,8,0.31,7,1,0,0,0,0,Matches
253,Josan\Josan,es ESP,MFDF,Elche,31-167,1989,20.6,29,1.41,18,7,1,0,2,1,3,0.15,2,0,0,0,0,1,Matches
254,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,29-177,1991,7.7,12,1.57,8,0,0,3,1,0,1,0.13,0,0,0,1,0,0,Matches
255,Joselu\Joselu,es ESP,FW,Alavés,31-053,1990,33.4,56,1.68,36,0,5,5,7,3,7,0.21,3,0,1,0,1,2,Matches
256,Josema\Josema,es ESP,DF,Elche,24-347,1996,21.6,14,0.65,9,4,0,1,0,0,1,0.05,0,1,0,0,0,0,Matches
257,Jota\Jota,es ESP,MF,Alavés,29-337,1991,15.5,27,1.74,15,8,2,1,0,1,2,0.13,1,0,0,1,0,0,Matches
258,Jota\Jota,pt POR,FW,Valladolid,22-050,1999,7.1,,,,,,,,,,,,,,,,,Matches
259,Luka Jović\Luka-Jovic,rs SRB,FWMF,Real Madrid,23-147,1997,1.7,4,2.42,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
260,Juanmi\Juanmi,es ESP,FWMF,Betis,27-364,1993,6.7,7,1.04,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
261,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,20-311,2000,21.3,69,3.24,50,0,9,4,5,1,9,0.42,4,0,1,2,2,0,Matches
262,Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,28-129,1993,28.4,27,0.95,23,0,0,2,2,0,3,0.11,3,0,0,0,0,0,Matches
263,Damian Kądzior\Damian-Kadzior,pl POL,FWMF,Eibar,28-337,1992,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
264,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,20-089,2001,13.1,41,3.12,34,3,2,2,0,0,5,0.38,4,1,0,0,0,0,Matches
265,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,19-272,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
266,Kenedy\Kenedy,br BRA,FWMF,Granada,25-100,1996,16.3,35,2.14,15,6,7,2,3,2,5,0.31,2,1,1,0,0,1,Matches
267,Kike\Kike,es ESP,FW,Eibar,31-175,1989,33.3,65,1.95,38,0,7,6,13,1,6,0.18,2,0,3,0,0,1,Matches
268,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,21-324,1999,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
269,Kenan Kodro\Kenan-Kodro,ba BIH,FW,Valladolid,27-273,1993,5.1,7,1.37,5,0,0,0,1,1,1,0.20,0,0,0,0,1,0,Matches
270,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,27-273,1993,0.5,2,4.09,0,0,0,1,1,0,2,4.09,0,0,0,1,1,0,Matches
271,Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,19-204,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
272,Koke\Koke,es ESP,MF,Atlético Madrid,29-131,1992,32.6,67,2.06,54,9,1,1,0,2,6,0.18,6,0,0,0,0,0,Matches
273,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,28-093,1993,4.9,5,1.02,4,0,0,0,1,0,1,0.20,1,0,0,0,0,0,Matches
274,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MFFW,Atlético Madrid,28-093,1993,6.7,10,1.50,9,0,0,0,1,0,1,0.15,1,0,0,0,0,0,Matches
275,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,25-318,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
276,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,22-188,1998,32.1,28,0.87,26,0,1,1,0,0,3,0.09,3,0,0,0,0,0,Matches
277,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,31-135,1990,23.5,107,4.55,53,44,1,3,3,3,13,0.55,6,4,0,1,0,2,Matches
278,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,19-349,2001,3.3,14,4.21,11,0,2,1,0,0,1,0.30,1,0,0,0,0,0,Matches
279,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,19-349,2001,7.9,18,2.27,11,3,2,2,0,0,3,0.38,2,0,0,1,0,0,Matches
280,Kuki\Kuki,es ESP,MF,Valladolid,23-014,1998,0.3,2,6.00,1,0,0,0,0,1,2,6.00,1,0,0,0,0,1,Matches
281,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,31-195,1989,29.2,12,0.41,9,1,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
282,Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,20-344,2000,9.2,26,2.83,21,2,3,0,0,0,5,0.54,3,1,1,0,0,0,Matches
283,Toni Lato\Toni-Lato,es ESP,DF,Valencia,23-179,1997,7.1,9,1.27,6,2,1,0,0,0,1,0.14,0,0,1,0,0,0,Matches
284,Lauti\Lauti,uy URU,MFFW,Celta Vigo,20-099,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
285,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,24-189,1996,29.5,12,0.41,7,1,0,2,2,0,4,0.14,1,0,0,2,1,0,Matches
286,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,28-095,1993,32.0,6,0.19,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
287,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,29-364,1991,32.5,17,0.52,12,2,0,2,0,1,3,0.09,1,0,0,2,0,0,Matches
288,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,28-015,1993,6.2,13,2.08,10,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
