Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
117,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,28-341,1992,7.3,523,494,29,4,4,58,7,10,17,10,1,0,430,47,46,47,457,9,7,0,454,2,8,8,4,Matches
118,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,28-295,1992,21.8,870,646,224,7,0,106,17,41,0,0,0,0,411,159,300,479,80,73,217,4,606,2,12,18,39,Matches
119,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,21-256,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Cucho\Cucho,co COL,FWMF,Getafe,22-029,1999,16.0,505,489,16,1,1,130,17,31,3,0,2,0,286,112,107,70,352,35,7,7,336,2,15,15,26,Matches
121,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,22-301,1998,35.1,1266,1137,129,20,0,258,34,93,11,3,0,0,729,252,285,774,248,78,98,10,894,5,31,19,74,Matches
122,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,23-136,1998,1.2,20,18,2,0,0,4,2,1,0,0,0,0,12,3,5,0,17,2,1,0,15,0,0,0,0,Matches
123,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,24-311,1996,1.1,33,32,1,0,0,6,0,1,0,0,0,0,18,9,6,0,24,4,0,2,20,1,0,3,1,Matches
124,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,24-004,1997,18.7,988,932,56,7,5,132,27,55,28,6,4,4,801,104,83,468,481,8,19,7,818,1,18,25,40,Matches
125,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,20-197,2000,20.0,1250,1108,142,6,1,111,4,39,0,0,0,0,1004,175,71,132,958,21,136,0,1117,2,4,20,37,Matches
126,Deyverson\Deyverson,br BRA,FW,Alavés,30-011,1991,9.7,310,300,10,0,4,93,15,13,0,0,0,0,93,83,134,181,19,48,0,5,155,2,14,9,19,Matches
127,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,29-363,1991,0.2,10,10,0,0,0,2,1,2,0,0,0,0,6,1,3,10,0,0,0,0,5,0,1,0,2,Matches
128,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,24-151,1996,22.1,952,919,33,31,0,91,37,2,0,0,0,0,727,73,152,81,803,45,2,1,819,5,25,9,15,Matches
129,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32-341,1988,8.7,372,282,90,11,0,52,12,22,4,0,3,0,152,72,148,29,240,20,75,1,254,1,12,9,13,Matches
130,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,35-061,1986,25.1,881,860,21,19,2,187,31,7,0,0,0,0,483,117,281,83,603,130,0,5,616,4,36,22,21,Matches
131,Djené\Djene,tg TOG,DF,Getafe,29-139,1991,31.7,904,830,74,50,0,125,28,7,0,0,0,0,516,127,261,196,559,85,24,6,691,3,17,15,9,Matches
132,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-115,1992,34.7,1074,714,360,125,0,59,56,0,0,0,0,0,252,32,790,726,151,2,0,100,580,3,49,4,3,Matches
133,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,30-195,1990,28.0,897,559,338,93,0,58,28,0,0,0,0,0,335,33,529,52,663,0,1,105,623,5,18,3,3,Matches
134,Carlos Dominguez\Carlos-Dominguez,es ESP,DF,Celta Vigo,20-138,2001,3.0,97,94,3,3,0,19,1,0,0,0,0,0,70,9,18,70,20,5,0,0,77,0,7,0,2,Matches
135,John Donald\John-Donald,es ESP,DF,Elche,20-262,2000,0.6,20,20,0,0,0,2,1,0,0,0,0,0,18,1,1,2,17,1,0,0,19,0,0,0,0,Matches
136,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,28-250,1992,1.1,45,44,1,1,0,15,1,0,0,0,0,0,32,8,5,7,35,2,0,0,39,0,1,1,0,Matches
137,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,23-035,1998,8.4,391,383,8,8,0,50,5,0,0,0,0,0,334,36,21,81,292,14,0,3,358,0,6,3,3,Matches
138,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,26-070,1995,26.3,948,899,49,43,0,119,34,2,0,0,0,0,596,104,248,54,770,86,6,4,761,4,19,18,14,Matches
139,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,31-350,1989,21.9,1075,1031,44,37,0,116,40,2,0,0,0,0,769,85,221,228,760,53,1,5,936,1,11,14,8,Matches
140,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,25-213,1995,27.3,1284,982,302,49,3,168,45,54,17,6,10,0,560,257,467,829,108,70,236,3,909,4,45,27,36,Matches
141,Unai Dufur\Unai-Dufur,es ESP,DF,Eibar,22-138,1999,0.7,43,28,15,0,0,1,0,0,0,0,0,0,17,17,9,4,20,4,15,0,34,0,1,2,2,Matches
142,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,21-190,1999,0.6,5,5,0,0,0,3,0,1,0,0,0,0,4,1,0,3,2,0,0,0,5,0,0,0,0,Matches
143,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,27-052,1994,19.9,1148,1102,46,28,0,113,27,7,0,0,0,0,877,74,197,109,925,64,18,2,1001,2,19,9,6,Matches
144,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,27-197,1993,5.2,159,146,13,13,0,15,7,0,0,0,0,0,83,31,45,15,114,21,0,2,125,3,8,0,1,Matches
145,Emerson\Emerson,br BRA,DF,Betis,22-125,1999,32.2,1891,1546,345,42,1,217,23,72,1,0,0,0,1178,400,313,156,1335,58,302,11,1534,4,30,45,66,Matches
146,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,23-352,1997,24.7,401,371,30,0,1,120,8,17,0,0,0,0,201,122,78,230,32,58,3,10,276,1,11,10,20,Matches
147,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,31-082,1990,14.8,444,423,21,0,0,157,12,7,1,1,0,0,229,91,124,24,293,44,1,17,341,4,4,8,13,Matches
148,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,25-234,1995,4.0,120,77,43,19,0,2,3,0,0,0,0,0,31,2,87,8,91,0,0,13,55,1,4,1,1,Matches
149,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,23-056,1998,9.5,267,260,7,0,1,64,4,4,1,0,0,0,193,40,34,13,225,14,2,0,198,1,4,8,15,Matches
150,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,31-259,1989,5.5,342,276,66,14,1,40,8,12,3,0,2,0,201,63,78,236,34,18,49,0,280,2,7,5,9,Matches
151,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,29-134,1992,28.9,1039,778,261,21,0,134,38,61,1,1,0,0,402,224,413,602,119,53,239,1,666,9,27,36,53,Matches
152,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,22-137,1999,2.6,97,95,2,1,0,18,5,2,0,0,0,0,69,13,15,85,8,2,1,0,77,1,3,1,3,Matches
153,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,23-118,1998,13.0,667,567,100,9,0,85,27,61,0,0,0,0,405,148,114,460,82,27,91,3,523,1,7,15,38,Matches
154,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,33-200,1987,9.8,289,274,15,14,0,33,13,0,0,0,0,0,147,35,107,91,151,34,1,0,195,0,13,4,5,Matches
155,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,24-291,1996,27.3,1179,1117,62,21,1,213,46,36,35,17,16,2,738,176,265,203,851,87,5,4,879,6,30,37,32,Matches
156,Fali\Fali,es ESP,DFMF,Cádiz,27-280,1993,28.3,696,632,64,55,3,81,45,13,0,0,0,0,362,86,248,145,480,48,7,2,489,2,23,13,10,Matches
157,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,18-200,2002,4.8,205,196,9,1,1,35,0,5,5,3,0,0,177,15,13,15,183,2,1,3,174,0,0,5,7,Matches
158,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27-305,1993,28.1,1292,1139,153,37,6,229,52,53,80,21,34,2,995,106,191,1085,165,13,12,2,1050,6,25,22,30,Matches
159,Felipe\Felipe,br BRA,DF,Atlético Madrid,32-003,1989,21.9,987,953,34,28,1,114,29,2,0,0,0,0,748,68,171,147,732,59,6,4,854,3,19,4,5,Matches
160,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,21-190,1999,17.2,669,652,17,4,8,157,12,13,1,1,0,0,530,74,65,42,596,9,5,2,556,4,3,14,20,Matches
161,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,30-016,1991,29.0,921,650,271,66,0,66,25,0,0,0,0,0,539,61,321,67,677,3,0,150,698,1,16,10,3,Matches
162,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,28-216,1992,21.6,898,741,157,67,0,150,46,41,75,28,33,6,539,116,243,171,664,35,8,2,667,5,11,20,23,Matches
163,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,23-036,1998,21.0,788,553,235,66,0,59,21,0,0,0,0,0,450,43,295,85,576,0,0,104,591,8,22,3,1,Matches
164,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,34-153,1986,16.0,566,400,166,45,0,65,15,0,0,0,0,0,289,16,261,42,432,0,0,70,386,6,19,1,2,Matches
165,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,35-039,1986,3.5,102,101,1,1,0,16,7,0,0,0,0,0,63,13,26,12,79,9,0,1,81,0,4,1,2,Matches
166,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,24-362,1996,1.6,39,37,2,0,0,6,0,2,0,0,0,0,29,7,3,21,11,2,0,2,29,0,1,0,1,Matches
167,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,24-362,1996,4.1,112,110,2,1,0,40,0,1,0,0,0,0,70,26,16,69,18,11,0,0,75,1,1,3,8,Matches
168,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,24-353,1996,23.0,763,734,29,28,0,89,24,1,0,0,0,0,492,80,191,107,570,56,1,4,622,0,23,13,7,Matches
169,Fernando\Fernando,br BRA,MF,Sevilla,33-298,1987,28.3,1537,1488,49,37,2,178,54,2,0,0,0,0,1199,160,178,162,1235,82,10,7,1391,3,20,11,8,Matches
170,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,33-048,1988,27.1,1063,899,164,65,0,192,80,107,84,29,35,1,581,127,355,118,883,34,12,5,696,9,28,28,49,Matches
171,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,30-066,1991,3.3,55,50,5,1,0,22,0,1,0,0,0,0,29,14,12,8,25,3,1,8,36,0,0,3,3,Matches
172,Fidel\Fidel,es ESP,MFDF,Elche,31-204,1989,25.6,1162,977,185,53,0,207,61,73,56,25,20,0,690,197,275,943,114,19,75,2,855,4,26,43,38,Matches
173,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,24-270,1996,2.7,198,177,21,4,0,23,0,4,0,0,0,0,161,29,8,146,29,4,17,1,180,2,0,5,4,Matches
174,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,22-241,1998,0.5,12,7,5,0,0,1,0,0,0,0,0,0,4,3,5,1,5,1,5,0,8,0,0,1,0,Matches
175,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,31-227,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
176,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,21-097,2000,7.2,340,314,26,4,0,40,11,7,0,0,0,0,241,44,55,262,43,11,22,0,278,1,3,8,9,Matches
177,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,28-057,1993,28.6,1063,741,322,7,0,137,17,33,0,0,0,0,464,318,281,95,591,46,314,3,812,2,29,18,48,Matches
178,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,23-127,1998,13.0,734,669,65,21,2,115,16,2,0,0,0,0,551,94,89,70,561,33,44,4,650,0,9,10,11,Matches
179,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,24-088,1997,23.3,683,620,63,6,2,125,24,68,31,8,9,0,412,138,133,53,561,27,25,6,467,3,14,27,44,Matches
180,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,30-075,1991,8.1,477,458,19,9,0,51,7,2,0,0,0,0,376,35,66,207,234,16,10,2,420,3,9,8,5,Matches
181,Javi Galán\Javi-Galan,es ESP,DF,Huesca,26-181,1994,34.1,1820,1430,390,38,0,198,51,104,23,12,6,1,1025,419,376,1366,75,41,329,1,1424,8,46,35,69,Matches
182,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,34-249,1986,8.2,260,250,10,0,1,99,5,8,0,0,0,0,99,89,72,117,22,38,0,12,151,0,11,6,13,Matches
183,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,34-010,1987,12.0,265,242,23,1,0,62,1,2,0,0,0,0,202,36,27,16,222,16,2,1,210,2,2,4,12,Matches
184,Aleix García\Aleix-Garcia,es ESP,MF,Eibar,23-325,1997,4.9,271,250,21,7,0,33,22,3,13,9,4,0,192,26,53,40,211,11,1,2,225,1,5,3,3,Matches
185,Borja García\Borja-Garcia,es ESP,MFFW,Huesca,30-198,1990,12.3,552,536,16,4,3,100,13,8,2,0,1,0,394,90,68,48,475,17,0,5,472,5,3,8,16,Matches
186,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,30-360,1990,21.3,1036,1002,34,27,1,161,46,5,0,0,0,0,689,128,219,154,779,65,4,3,866,3,25,16,12,Matches
187,David García\David-Garcia,es ESP,DF,Osasuna,27-094,1994,34.0,1252,1202,50,47,1,189,49,4,0,0,0,0,649,165,438,383,624,139,3,4,945,6,32,21,11,Matches
188,Manu García\Manu-Garcia,es ESP,MF,Alavés,35-023,1986,11.5,359,349,10,4,0,85,9,6,0,0,0,0,215,47,97,192,101,31,3,2,254,2,7,11,9,Matches
189,Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,34-312,1986,19.4,597,586,11,1,6,183,10,17,1,1,0,0,268,130,199,77,338,76,1,11,372,5,21,17,25,Matches
190,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,32-019,1989,5.6,287,219,68,4,0,27,5,20,0,0,0,0,125,72,90,181,12,17,64,0,199,1,6,6,19,Matches
191,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27-309,1993,30.2,1212,1069,143,52,0,214,87,91,57,22,26,3,631,210,371,892,140,96,28,8,803,7,48,44,54,Matches
192,Sergi García\Sergi-Garcia,es ESP,MF,Alavés,22-035,1999,0.2,8,5,3,0,0,2,0,0,0,0,0,0,4,3,1,0,6,0,2,0,5,0,0,0,0,Matches
193,Unai García\Unai-Garcia,es ESP,DF,Osasuna,29-105,1992,13.2,407,379,28,27,0,56,27,3,0,0,0,0,250,46,111,32,332,29,1,3,319,1,14,1,7,Matches
194,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,30-176,1990,19.6,1060,847,213,22,0,114,17,30,1,0,0,0,661,237,162,82,733,39,190,2,895,7,16,21,33,Matches
195,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,29-137,1992,7.0,208,132,76,23,0,8,5,0,0,0,0,0,65,7,136,7,160,0,0,20,123,1,7,4,0,Matches
196,David Gil\David-Gil,es ESP,GK,Cádiz,27-128,1994,3.0,86,48,38,17,0,5,3,0,0,0,0,0,8,5,73,57,11,0,0,7,30,0,4,1,0,Matches
197,Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,30-000,1991,4.5,93,90,3,0,0,38,1,1,0,0,0,0,46,19,28,49,14,10,0,2,58,0,3,1,7,Matches
198,Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22-293,1998,17.8,318,299,19,1,1,89,3,10,0,0,0,0,237,50,31,29,258,17,1,4,238,0,4,17,22,Matches
199,Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,31-189,1989,3.9,142,126,16,6,0,29,8,14,7,1,2,2,79,29,34,21,105,6,3,2,94,0,3,6,3,Matches
200,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,24-278,1996,29.0,545,522,23,0,2,177,29,15,1,0,1,0,251,156,138,39,334,52,1,28,366,2,16,17,20,Matches
201,Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26-330,1994,28.4,1325,1252,73,21,5,223,35,45,47,14,6,0,997,149,179,427,839,39,5,7,1083,9,7,22,40,Matches
202,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Sevilla,33-093,1988,10.0,575,543,32,9,4,95,31,23,16,1,9,1,430,53,92,86,465,10,6,4,501,3,1,9,8,Matches
203,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,29-052,1992,8.0,540,532,8,6,0,49,13,0,0,0,0,0,481,20,39,37,481,8,1,1,506,0,2,2,2,Matches
204,Sergio Gómez\Sergio-Gomez,es ESP,MFFW,Huesca,20-257,2000,7.8,378,321,57,18,0,52,21,29,14,4,6,1,223,74,81,321,22,8,25,2,269,3,10,11,17,Matches
205,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,32-070,1989,16.4,726,705,21,21,0,140,28,4,0,0,0,0,501,73,152,210,448,33,0,5,602,3,9,13,14,Matches
206,Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30-360,1990,25.1,764,716,48,46,0,91,27,0,0,0,0,0,487,83,194,102,566,68,2,2,597,1,21,11,12,Matches
207,Diego González\Diego-Gonzalez,es ESP,DF,Elche,26-111,1995,14.2,726,707,19,19,0,86,13,1,0,0,0,0,573,48,105,364,332,18,0,2,656,2,6,4,5,Matches
208,Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,24-005,1997,1.0,29,28,1,1,0,8,0,0,0,0,0,0,14,9,6,3,19,6,0,0,20,0,2,0,0,Matches
209,Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,20-060,2001,0.5,30,30,0,0,0,4,0,0,0,0,0,0,26,0,4,0,28,1,0,0,27,0,0,1,0,Matches
210,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,24-288,1996,25.5,1382,1095,287,32,1,154,12,59,2,0,0,2,843,291,248,90,978,47,253,4,1115,6,22,32,44,Matches
211,Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,30-059,1991,27.9,1282,1238,44,9,6,211,23,29,12,0,2,2,1051,130,101,1031,181,36,9,14,1128,2,3,24,28,Matches
212,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,34-233,1986,13.9,764,747,17,11,1,112,34,6,1,0,1,0,552,82,130,638,73,31,5,3,643,1,13,15,12,Matches
213,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29-355,1991,19.6,502,494,8,1,0,153,19,17,1,1,0,0,278,128,96,339,46,58,0,12,328,2,14,16,37,Matches
214,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MF,Sevilla,29-184,1991,10.6,706,684,22,21,0,75,13,3,0,0,0,0,609,37,60,31,632,25,1,5,664,2,6,5,1,Matches
215,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,24-171,1996,24.6,763,727,36,6,4,158,31,54,8,1,2,0,526,107,130,65,655,18,7,8,557,6,14,35,44,Matches
216,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,23-316,1997,22.1,1332,1307,25,22,2,226,23,4,1,0,0,1,965,177,190,247,997,63,2,5,1107,3,26,38,25,Matches
217,John Guidetti\John-Guidetti,se SWE,FWMF,Alavés,29-034,1992,1.5,48,43,5,1,1,14,1,1,1,0,1,0,27,13,8,9,28,4,0,1,30,0,0,3,4,Matches
218,Hugo Guillamón\Hugo-Guillamon,es ESP,DF,Valencia,21-108,2000,21.1,1116,1061,55,52,0,133,40,0,0,0,0,0,873,75,168,197,861,27,3,1,995,2,29,8,8,Matches
219,Jon Guridi\Jon-Guridi,es ESP,MF,Real Sociedad,26-080,1995,9.2,355,348,7,5,0,65,5,3,0,0,0,0,278,36,41,287,34,20,2,1,292,1,7,10,6,Matches
220,Raúl Guti\Raul-Guti,es ESP,MF,Elche,24-140,1996,30.8,1239,1199,40,25,1,201,43,12,1,1,0,0,929,133,177,53,1143,29,4,2,1041,4,14,31,26,Matches
221,Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,30-130,1991,20.3,497,463,34,33,0,54,20,0,0,0,0,0,333,51,113,40,399,37,1,3,421,2,10,2,7,Matches
222,Miguel Gutiérrez\Miguel-Gutierrez,es ESP,DF,Real Madrid,19-296,2001,2.8,218,189,29,3,0,21,3,11,0,0,0,0,163,34,21,173,16,3,26,0,194,0,3,3,7,Matches
223,Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,25-260,1995,9.4,345,334,11,3,0,70,14,19,7,0,1,0,256,39,50,291,33,11,1,3,272,0,9,6,13,Matches
224,Eden Hazard\Eden-Hazard,be BEL,FWMF,Real Madrid,30-132,1991,5.9,344,336,8,3,1,55,5,6,3,0,1,0,295,34,15,55,278,2,2,4,303,0,1,11,9,Matches
225,Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25-335,1995,28.0,1864,1679,185,44,0,143,62,6,0,0,0,0,1347,225,292,1387,247,63,141,2,1584,4,23,50,30,Matches
226,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,32-057,1989,22.5,687,653,34,31,1,104,31,2,0,0,0,0,426,85,176,84,496,68,3,1,563,3,20,7,6,Matches
227,Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,31-030,1990,7.5,663,631,32,27,3,96,18,3,1,1,0,0,520,61,82,90,535,12,4,6,591,2,5,8,8,Matches
228,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27-348,1993,32.9,1144,723,421,163,1,50,48,0,0,0,0,0,184,34,926,36,850,1,1,84,631,5,43,10,1,Matches
229,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,23-132,1998,25.7,882,877,5,5,0,237,11,14,0,0,0,0,496,137,249,178,491,108,0,6,597,1,26,23,39,Matches
230,Pablo Hervías\Pablo-Hervias,es ESP,DFMF,Valladolid,28-072,1993,13.3,731,600,131,27,0,69,25,79,21,4,10,1,433,128,170,57,565,22,83,0,552,3,14,14,22,Matches
