Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1,Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,22-008,1999,0.6,14,0,0,9,6,0,14,1,2,50.0,1,0,9,42,19,1,1,0,0,0,9,7,77.8,1,Matches
2,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-203,1991,25.9,2027,73,704,915,525,32,1760,41,60,68.3,43,5,1309,5909,3793,133,34,8,33,33,1437,1356,94.4,56,Matches
3,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-094,1999,0.4,18,1,2,8,11,4,18,1,2,50.0,2,0,15,88,61,3,2,1,4,0,14,12,85.7,4,Matches
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,25-009,1996,17.3,883,48,306,454,155,8,706,4,8,50.0,4,0,412,1633,843,33,8,2,8,9,501,425,84.8,19,Matches
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-232,1995,14.3,815,129,510,327,20,11,799,5,6,83.3,6,1,472,2867,1515,33,3,1,4,5,464,460,99.1,1,Matches
6,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-068,1993,8.6,421,42,183,185,70,1,318,9,10,90.0,9,0,141,917,462,24,5,0,5,5,147,136,92.5,5,Matches
7,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-150,1997,4.2,216,14,56,151,23,0,215,3,4,75.0,3,2,146,812,351,10,1,0,1,4,152,144,94.7,2,Matches
8,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-236,2001,0.8,25,1,12,11,3,1,25,1,1,100.0,1,0,19,97,35,1,0,0,0,2,13,13,100.0,1,Matches
9,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-059,1989,33.1,3154,92,665,1287,1359,123,2894,17,37,45.9,24,7,2139,7662,3996,167,45,16,22,14,2558,2379,93.0,193,Matches
10,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-257,1985,33.6,2254,352,1292,1112,51,11,2190,5,9,55.6,5,0,1501,10933,6931,128,16,0,5,3,1621,1605,99.0,5,Matches
11,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-262,1993,17.0,392,8,33,192,179,80,351,7,10,70.0,7,0,221,795,355,25,6,9,26,15,590,270,45.8,108,Matches
12,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-061,1989,9.4,371,71,228,168,3,3,356,0,0,,0,0,157,985,545,7,0,0,0,0,192,181,94.3,0,Matches
13,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,30-018,1991,24.1,1397,59,365,923,202,25,1351,13,22,59.1,16,1,892,4629,2139,69,22,1,10,20,922,858,93.1,10,Matches
14,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-098,1995,9.2,367,16,71,143,190,28,353,15,26,57.7,15,0,247,2075,1343,61,20,7,21,21,332,228,68.7,50,Matches
15,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-134,1998,0.5,46,2,12,26,8,1,46,0,1,0.0,1,0,38,142,80,1,0,0,0,2,50,43,86.0,1,Matches
16,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-134,1998,14.2,674,8,62,343,311,20,613,18,27,66.7,19,3,464,2338,1198,59,24,1,16,20,587,447,76.1,46,Matches
17,Alfon\Alfon,es ESP,MF,Celta Vigo,22-015,1999,0.4,21,0,0,7,14,2,21,1,2,50.0,1,0,19,70,41,4,0,0,1,2,27,19,70.4,4,Matches
18,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-116,1992,17.1,840,35,186,548,146,17,830,5,8,62.5,5,0,445,2271,789,40,12,2,11,11,483,459,95.0,17,Matches
19,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-115,1995,20.6,1218,137,648,609,52,17,1169,8,10,80.0,9,2,711,4863,2493,45,15,1,2,2,732,721,98.5,7,Matches
20,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,19-180,2001,0.5,17,0,5,11,3,0,15,0,0,,0,0,8,67,41,1,0,0,1,0,9,9,100.0,0,Matches
21,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-222,1989,8.5,313,22,89,192,39,7,304,3,4,75.0,4,1,125,520,142,9,1,0,2,7,177,141,79.7,3,Matches
22,Ángel\Angel,es ESP,GK,Granada,18-331,2002,1.0,40,37,40,0,0,0,21,0,0,,0,0,5,21,16,0,0,0,0,0,9,8,88.9,0,Matches
23,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-069,1998,1.5,77,13,40,36,2,1,77,0,0,,0,0,27,90,24,1,0,0,0,0,35,32,91.4,0,Matches
24,José Ángel\Jose-Angel,es ESP,DF,Eibar,31-256,1989,10.0,775,26,178,418,231,4,639,10,12,83.3,11,0,447,2226,1176,47,21,1,8,10,441,418,94.8,12,Matches
25,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,22-301,1998,0.3,22,0,0,11,11,3,22,0,1,0.0,0,0,15,83,40,3,0,1,0,2,18,15,83.3,4,Matches
26,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-108,1998,0.3,24,0,5,16,3,1,19,0,1,0.0,0,0,10,35,8,0,0,0,0,0,14,14,100.0,0,Matches
27,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-231,1995,33.1,1470,47,252,877,452,39,1350,31,56,55.4,34,4,866,5042,2174,100,47,8,31,32,863,737,85.4,59,Matches
28,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,29-263,1991,26.0,1740,272,1034,799,45,9,1717,6,7,85.7,6,0,1128,7664,4272,91,10,0,6,2,1221,1205,98.7,2,Matches
29,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-073,1999,15.8,1114,154,519,611,44,13,1087,4,5,80.0,5,0,791,3899,2057,65,11,1,1,2,830,817,98.4,0,Matches
30,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,34-004,1987,30.2,2168,134,759,1273,284,14,1899,28,30,93.3,30,0,1197,7221,3590,112,25,3,16,14,1182,1139,96.4,6,Matches
31,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,22-138,1999,0.5,14,0,0,5,9,0,14,0,0,,0,0,8,14,7,1,0,0,4,1,21,12,57.1,9,Matches
32,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,19-231,2001,1.5,106,4,19,53,41,2,104,5,6,83.3,5,0,89,444,239,14,3,1,0,3,99,82,82.8,11,Matches
33,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,31-325,1989,36.0,1376,1213,1374,4,0,0,1018,0,0,,0,0,714,3164,1700,0,0,0,0,0,707,700,99.0,0,Matches
34,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,25-118,1996,20.2,1165,19,118,515,625,76,1100,36,54,66.7,38,2,910,5658,3017,168,53,14,27,21,1128,921,81.6,136,Matches
35,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,33-291,1987,30.8,1519,31,152,732,742,168,1467,57,84,67.9,60,2,1153,5926,3250,172,56,43,51,41,1711,1216,71.1,310,Matches
36,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,21-357,1999,8.3,381,16,56,241,94,9,378,3,3,100.0,3,0,205,897,365,20,6,0,2,5,263,216,82.1,15,Matches
37,Ezequiel Ávila\Ezequiel-Avila,ar ARG,MFFW,Osasuna,27-102,1994,2.2,87,0,10,43,39,7,86,0,2,0.0,0,0,48,240,102,5,2,0,2,7,98,64,65.3,17,Matches
38,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,28-158,1992,1.1,48,2,8,28,14,3,47,0,0,,0,0,24,134,22,1,1,0,1,1,35,28,80.0,4,Matches
39,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,34-253,1986,8.0,239,2,16,123,114,42,227,8,17,47.1,9,1,147,612,332,19,10,3,14,17,346,179,51.7,60,Matches
40,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,29-096,1992,30.0,1228,1133,1227,2,0,0,859,0,0,,0,0,534,2283,1340,0,0,0,1,0,528,527,99.8,0,Matches
41,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,19-303,2001,1.5,71,1,8,33,40,2,70,1,1,100.0,1,0,52,216,96,7,5,0,0,5,71,56,78.9,20,Matches
42,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,21-053,2000,5.9,271,7,60,125,104,17,260,1,5,20.0,1,0,180,814,367,19,5,2,8,10,262,199,76.0,25,Matches
43,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,33-079,1988,17.8,1046,73,337,527,236,6,865,8,13,61.5,10,0,537,3136,1711,63,18,2,12,10,616,571,92.7,13,Matches
44,Barcia\Barcia,es ESP,DF,Granada,20-139,2000,1.0,46,7,26,17,3,0,37,0,0,,0,0,13,46,14,0,0,0,0,0,12,11,91.7,0,Matches
45,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,25-321,1995,18.0,1092,31,237,543,406,39,1011,34,60,56.7,37,3,773,3837,2188,96,36,4,30,41,913,764,83.7,102,Matches
46,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,24-048,1997,15.0,676,20,108,302,318,34,663,42,74,56.8,45,1,546,3129,1691,101,18,7,34,38,686,479,69.8,84,Matches
47,Marc Baró\Marc-Baro,es ESP,DF,Cádiz,21-269,1999,1.0,28,2,8,11,11,1,18,1,1,100.0,1,0,10,86,42,3,1,1,0,0,6,4,66.7,0,Matches
48,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,33-341,1987,23.8,1486,141,644,700,223,9,1284,9,16,56.3,9,2,849,3773,2151,75,27,2,11,6,1025,958,93.5,28,Matches
49,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,19-143,2001,14.4,641,10,99,284,308,42,631,39,64,60.9,45,4,499,2766,1484,81,24,13,42,49,575,434,75.5,74,Matches
50,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,30-124,1991,17.8,1118,151,614,515,41,15,1075,6,6,100.0,6,0,652,3045,1499,45,7,1,3,3,724,714,98.6,3,Matches
51,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,29-311,1991,27.5,1262,85,379,810,145,21,1223,17,22,77.3,18,0,800,4592,2101,78,23,0,14,18,837,776,92.7,17,Matches
52,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,25-320,1995,4.1,146,5,8,66,82,24,139,2,4,50.0,2,0,77,342,177,12,4,2,12,10,198,99,50.0,33,Matches
53,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,22-105,1999,14.6,877,41,246,529,144,8,856,10,14,71.4,13,1,607,2870,1196,48,11,0,14,14,690,602,87.2,26,Matches
54,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,22-057,1999,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
55,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,33-151,1987,31.2,1524,28,117,670,829,227,1462,38,58,65.5,39,4,1060,5531,3109,173,55,46,51,37,1827,1285,70.3,264,Matches
56,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,31-098,1990,18.7,1298,41,300,670,417,43,1076,17,28,60.7,17,1,810,4639,2724,137,39,13,14,23,857,784,91.5,44,Matches
57,Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Athletic Club,25-319,1995,24.3,1244,30,169,455,704,80,1131,42,82,51.2,46,6,773,3900,2473,121,44,17,38,46,1072,797,74.3,151,Matches
58,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,30-246,1990,16.8,794,67,366,393,71,14,734,4,5,80.0,4,1,330,2161,1088,21,5,1,5,3,361,345,95.6,5,Matches
59,Blanco\Blanco,es ESP,MFDF,Real Madrid,20-300,2000,2.4,198,10,40,129,37,0,196,1,1,100.0,1,0,136,413,126,3,1,0,1,0,147,142,96.6,3,Matches
60,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,22-154,1998,6.4,247,9,54,93,112,24,245,2,13,15.4,2,1,155,909,408,26,2,4,17,17,223,157,70.4,39,Matches
61,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,25-298,1995,18.2,698,631,697,1,0,0,504,0,0,,0,0,374,1735,944,0,0,0,0,0,358,358,100.0,0,Matches
62,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,26-099,1995,2.8,132,5,31,80,32,5,130,0,3,0.0,0,0,70,445,250,12,1,0,3,8,101,77,76.2,6,Matches
63,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,30-044,1991,33.0,1170,1064,1165,4,1,1,907,1,1,100.0,1,0,614,2425,860,0,0,0,0,1,605,602,99.5,0,Matches
64,Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,25-080,1996,28.9,1137,26,95,691,418,86,1087,64,116,55.2,67,0,799,3128,1353,70,21,16,137,88,1405,791,56.3,172,Matches
65,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,29-348,1991,12.6,397,10,35,148,233,75,387,11,16,68.8,11,0,272,1146,548,37,8,12,24,23,509,311,61.1,97,Matches
66,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,29-096,1992,10.1,399,15,57,201,160,37,387,5,6,83.3,5,1,219,1132,643,31,12,8,14,15,357,244,68.3,46,Matches
67,Álvaro Bravo\Alvaro-Bravo,es ESP,MF,Granada,23-104,1998,0.2,11,0,4,7,2,0,11,0,0,,0,0,5,15,6,0,0,0,0,0,9,8,88.9,0,Matches
68,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,38-036,1983,19.0,669,583,668,2,0,0,477,3,3,100.0,3,0,340,1654,1013,0,0,0,0,0,303,301,99.3,0,Matches
69,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,23-266,1997,13.7,457,23,110,295,63,3,450,5,6,83.3,5,0,257,895,345,9,2,0,9,13,269,239,88.8,14,Matches
70,Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,23-115,1998,0.3,7,1,1,3,3,0,7,0,0,,0,0,2,4,2,0,0,0,0,0,6,4,66.7,0,Matches
71,Bryan\Bryan,es ESP,FW,Sevilla,20-097,2001,0.1,10,0,1,6,3,1,10,0,0,,0,0,6,30,28,2,0,1,0,1,9,8,88.9,0,Matches
72,Bryan\Bryan,es ESP,MFFW,Eibar,20-097,2001,24.7,1338,13,122,494,836,103,1250,67,119,56.3,73,7,1028,5889,3344,207,58,35,60,63,1311,946,72.2,132,Matches
73,Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,29-301,1991,17.8,626,26,56,312,290,99,604,11,20,55.0,13,2,307,1147,559,37,10,12,63,29,947,452,47.7,116,Matches
74,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,29-130,1992,12.3,676,81,324,369,18,12,650,1,1,100.0,1,0,336,2160,1085,18,2,1,0,2,360,345,95.8,1,Matches
75,Burgui\Burgui,es ESP,MF,Alavés,27-202,1993,0.2,12,1,1,7,6,1,12,0,0,,0,0,8,43,35,3,2,1,0,0,12,7,58.3,1,Matches
76,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,32-307,1988,27.3,2860,66,506,1872,612,14,2777,13,17,76.5,14,1,1980,6333,3243,143,46,2,17,12,2369,2280,96.2,50,Matches
77,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,26-030,1995,14.7,603,59,286,314,33,9,553,3,4,75.0,3,0,253,1315,726,15,5,0,3,1,261,244,93.5,3,Matches
78,Cala\Cala,es ESP,DF,Cádiz,31-174,1989,25.2,960,148,532,459,32,20,917,5,6,83.3,6,0,433,2524,1115,18,4,0,5,1,469,438,93.4,4,Matches
79,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,27-238,1993,17.2,594,9,39,281,304,93,564,21,42,50.0,23,1,348,1401,746,49,11,10,46,41,838,427,51.0,115,Matches
80,Dani Calvo\Dani-Calvo,es ESP,DF,Elche,27-048,1994,18.8,881,126,545,367,19,10,854,2,2,100.0,2,0,494,2829,1393,24,1,0,3,2,561,546,97.3,1,Matches
81,José Campaña\Jose-Campana,es ESP,MF,Levante,27-353,1993,8.3,618,11,112,328,236,17,568,24,46,52.2,27,3,450,2337,1223,62,30,0,12,17,486,440,90.5,48,Matches
82,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,30-092,1991,27.8,1958,18,219,1128,777,74,1834,36,47,76.6,37,2,1508,9241,4915,221,90,11,41,30,1785,1563,87.6,126,Matches
83,Álex Cantero\Alex-Cantero,es ESP,FW,Levante,20-345,2000,2.4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
84,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,29-100,1992,23.7,1447,70,394,748,414,33,1148,27,57,47.4,28,2,763,4855,3161,150,51,7,18,20,856,741,86.6,50,Matches
85,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Villarreal,32-312,1988,12.4,834,43,226,570,73,3,817,10,16,62.5,11,1,541,2351,945,40,5,0,7,7,638,611,95.8,3,Matches
86,Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,28-026,1993,27.7,1397,136,516,619,314,11,1108,31,39,79.5,33,3,603,2712,1542,62,19,4,11,23,592,522,88.2,27,Matches
87,Cárdenas\Cardenas,es ESP,GK,Levante,24-052,1997,7.0,267,220,265,3,0,0,192,0,0,,0,0,130,593,303,0,0,0,0,0,108,108,100.0,0,Matches
88,Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,25-315,1995,0.6,32,2,7,16,9,3,31,1,1,100.0,1,0,19,72,29,1,0,1,0,0,42,22,52.4,5,Matches
89,Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,28-065,1993,31.0,2174,368,1234,961,46,23,2130,10,10,100.0,10,0,1535,5575,2290,32,3,0,4,1,1646,1626,98.8,4,Matches
90,Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,30-065,1991,3.2,156,0,18,89,73,15,156,5,6,83.3,6,1,121,1074,548,22,13,3,9,18,134,112,83.6,23,Matches
91,Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,27-257,1993,23.2,1340,29,190,544,717,129,1200,61,112,54.5,67,9,989,5953,3912,240,59,48,42,54,1146,892,77.8,144,Matches
92,Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,20-218,2000,2.9,144,9,53,70,34,3,121,1,2,50.0,1,0,69,393,205,11,6,0,2,0,97,84,86.6,5,Matches
93,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,29-359,1991,11.1,433,16,32,273,155,43,426,5,12,41.7,5,0,221,963,343,17,12,0,29,11,558,333,59.7,47,Matches
94,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,29-128,1992,10.6,940,46,290,430,278,22,821,10,16,62.5,10,0,556,2483,1444,60,24,5,12,6,649,609,93.8,35,Matches
95,William Carvalho\William-Carvalho,pt POR,MF,Betis,29-042,1992,13.3,1074,30,189,777,165,14,1054,16,17,94.1,17,1,745,2877,1445,65,13,0,10,21,902,856,94.9,26,Matches
96,Casemiro\Casemiro,br BRA,MF,Real Madrid,29-085,1992,31.5,2324,147,743,1317,382,50,2280,16,23,69.6,17,2,1347,5604,2934,97,30,4,20,23,1704,1566,91.9,63,Matches
97,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,27-259,1993,10.0,336,54,193,145,12,7,324,0,1,0.0,1,0,111,789,405,12,2,0,0,1,93,86,92.5,1,Matches
98,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,27-259,1993,0.1,10,1,5,5,1,1,9,0,0,,0,0,4,11,2,0,0,0,0,0,5,5,100.0,1,Matches
99,Chema\Chema,es ESP,DFMF,Getafe,29-077,1992,5.2,164,22,71,85,11,3,155,0,1,0.0,0,0,50,226,84,3,0,0,0,0,53,48,90.6,1,Matches
100,Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,30-144,1990,12.1,478,14,77,207,231,49,469,8,19,42.1,11,0,289,1570,969,58,21,7,21,14,457,323,70.7,87,Matches
101,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,21-362,1999,15.2,752,11,80,325,426,98,734,49,94,52.1,55,1,618,3958,2711,160,42,35,43,25,755,582,77.1,132,Matches
102,Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,21-075,2000,1.1,87,15,51,38,1,0,84,0,0,,0,0,47,245,118,6,0,0,0,0,58,57,98.3,0,Matches
103,Cifu\Cifu,es ESP,DF,Elche,30-226,1990,5.0,274,14,93,138,65,2,229,3,8,37.5,4,0,137,682,345,17,7,0,3,7,158,135,85.4,12,Matches
104,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,41-355,1979,2.0,73,54,73,0,0,0,37,0,0,,0,0,22,164,90,0,0,0,0,0,19,19,100.0,0,Matches
105,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,32-027,1989,9.0,302,279,301,2,1,0,195,0,0,,0,0,125,636,418,0,0,0,0,0,110,108,98.2,0,Matches
106,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,29-087,1992,30.6,1986,94,643,913,570,32,1699,36,56,64.3,40,1,1178,6455,3780,153,61,9,25,23,1272,1155,90.8,84,Matches
107,Coke\Coke,es ESP,DF,Levante,34-023,1987,9.2,542,48,229,237,98,10,487,5,9,55.6,5,0,302,1242,601,25,7,1,5,3,357,318,89.1,10,Matches
108,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,30-006,1991,7.9,591,26,138,374,113,14,579,10,11,90.9,10,1,418,1657,822,31,12,0,3,10,447,420,94.0,26,Matches
109,Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,24-067,1997,1.1,49,0,12,19,20,2,49,1,3,33.3,1,0,26,94,62,2,1,0,1,0,48,31,64.6,4,Matches
110,Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,24-067,1997,2.4,115,3,26,51,47,3,110,3,3,100.0,3,0,62,225,120,6,2,1,8,6,93,69,74.2,8,Matches
111,Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,26-071,1995,25.7,1223,19,158,542,591,166,1192,48,86,55.8,51,5,928,3240,1768,105,34,22,57,65,1253,888,70.9,243,Matches
112,Rober Correa\Rober-Correa,es ESP,DF,Eibar,28-241,1992,11.8,718,32,201,376,174,13,591,12,16,75.0,12,1,333,1695,757,37,17,0,9,5,338,305,90.2,19,Matches
113,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,22-071,1999,22.7,1431,92,520,652,353,17,1224,24,47,51.1,31,3,798,3858,2298,96,30,3,16,16,888,810,91.2,51,Matches
114,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,32-224,1988,2.3,99,2,6,44,53,20,99,0,0,,0,0,51,168,73,4,2,3,7,6,119,90,75.6,28,Matches
115,Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,33-062,1988,3.9,286,16,88,140,81,6,240,4,7,57.1,4,0,165,818,539,23,7,1,3,4,187,169,90.4,11,Matches
116,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,29-008,1992,37.0,1361,1225,1360,3,0,0,1079,0,0,,0,0,768,4000,1679,0,0,0,0,0,729,723,99.2,0,Matches
