Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
116,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,29-008,1992,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
117,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,28-341,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.0,0,0,0,3.9,3.9,0.14,-1.9,-1.9,Matches
118,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,28-295,1992,21.8,0,1,0,0.0,0.05,0.00,0.00,,20.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
119,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,21-256,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,Cucho\Cucho,co COL,FWMF,Getafe,22-029,1999,16.0,2,26,11,42.3,1.63,0.69,0.08,0.18,15.6,1,0,0,2.5,2.5,0.10,-0.5,-0.5,Matches
121,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,22-301,1998,35.1,3,27,8,29.6,0.77,0.23,0.11,0.38,17.1,0,0,0,1.7,1.7,0.06,+1.3,+1.3,Matches
122,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,23-136,1998,1.2,0,3,1,33.3,2.50,0.83,0.00,0.00,16.0,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches
123,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,24-311,1996,1.1,0,6,2,33.3,5.40,1.80,0.00,0.00,10.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
124,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,24-004,1997,18.7,6,52,19,36.5,2.78,1.02,0.12,0.32,17.0,0,0,0,5.5,5.5,0.11,+0.5,+0.5,Matches
125,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,20-197,2000,20.0,2,14,5,35.7,0.70,0.25,0.14,0.40,15.6,0,0,0,2.5,2.5,0.18,-0.5,-0.5,Matches
126,Deyverson\Deyverson,br BRA,FW,Alavés,30-011,1991,9.7,1,14,2,14.3,1.44,0.21,0.07,0.50,16.6,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches
127,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,29-363,1991,0.2,0,1,0,0.0,5.00,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
128,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,24-151,1996,22.1,1,10,4,40.0,0.45,0.18,0.10,0.25,10.2,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
129,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32-341,1988,8.7,0,5,1,20.0,0.57,0.11,0.00,0.00,26.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
130,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,35-061,1986,25.1,1,27,9,33.3,1.07,0.36,0.04,0.11,18.2,0,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches
131,Djené\Djene,tg TOG,DF,Getafe,29-139,1991,31.7,0,2,0,0.0,0.06,0.00,0.00,,7.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
132,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-115,1992,34.7,1,1,0,0.0,0.03,0.00,0.00,,44.0,0,1,2,1.6,0.1,0.07,-0.6,-0.1,Matches
133,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,30-195,1990,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
134,Carlos Dominguez\Carlos-Dominguez,es ESP,DF,Celta Vigo,20-138,2001,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
135,John Donald\John-Donald,es ESP,DF,Elche,20-262,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
136,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,28-250,1992,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,23-035,1998,8.4,0,4,0,0.0,0.48,0.00,0.00,,21.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
138,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,26-070,1995,26.3,1,7,2,28.6,0.27,0.08,0.14,0.50,8.2,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Matches
139,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,31-350,1989,21.9,1,6,3,50.0,0.27,0.14,0.17,0.33,7.5,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Matches
140,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,25-213,1995,27.3,1,12,1,8.3,0.44,0.04,0.08,1.00,22.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
141,Unai Dufur\Unai-Dufur,es ESP,DF,Eibar,22-138,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
142,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,21-190,1999,0.6,0,1,0,0.0,1.64,0.00,0.00,,1.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
143,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,27-052,1994,19.9,1,5,1,20.0,0.25,0.05,0.20,1.00,11.1,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
144,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,27-197,1993,5.2,1,3,2,66.7,0.58,0.38,0.33,0.50,7.9,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
145,Emerson\Emerson,br BRA,DF,Betis,22-125,1999,32.2,1,11,2,18.2,0.34,0.06,0.09,0.50,17.0,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
146,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,23-352,1997,24.7,18,73,27,37.0,2.96,1.09,0.25,0.67,11.6,0,0,0,14.4,14.4,0.20,+3.6,+3.6,Matches
147,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,31-082,1990,14.8,3,38,12,31.6,2.58,0.81,0.08,0.25,9.8,0,0,1,5.4,4.7,0.12,-2.4,-1.7,Matches
148,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,25-234,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
149,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,23-056,1998,9.5,1,10,1,10.0,1.05,0.11,0.10,1.00,13.4,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
150,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,31-259,1989,5.5,1,5,1,20.0,0.91,0.18,0.20,1.00,18.7,1,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
151,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,29-134,1992,28.9,0,9,4,44.4,0.31,0.14,0.00,0.00,23.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
152,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,22-137,1999,2.6,0,1,0,0.0,0.39,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
153,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,23-118,1998,13.0,0,11,5,45.5,0.85,0.39,0.00,0.00,17.5,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
154,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,33-200,1987,9.8,0,4,0,0.0,0.41,0.00,0.00,,8.5,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
155,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,24-291,1996,27.3,0,41,9,22.0,1.50,0.33,0.00,0.00,22.8,0,0,2,3.3,1.8,0.04,-3.3,-1.8,Matches
156,Fali\Fali,es ESP,DFMF,Cádiz,27-280,1993,28.3,0,11,2,18.2,0.39,0.07,0.00,0.00,11.8,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
157,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,18-200,2002,4.8,4,14,7,50.0,2.92,1.46,0.29,0.57,15.6,0,0,0,1.8,1.8,0.13,+2.2,+2.2,Matches
158,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27-305,1993,28.1,4,82,22,26.8,2.91,0.78,0.04,0.14,21.2,8,1,3,7.5,5.1,0.06,-3.5,-2.1,Matches
159,Felipe\Felipe,br BRA,DF,Atlético Madrid,32-003,1989,21.9,0,10,2,20.0,0.46,0.09,0.00,0.00,9.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
160,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,21-190,1999,17.2,7,36,14,38.9,2.10,0.82,0.17,0.43,18.8,2,1,2,5.1,3.6,0.10,+1.9,+2.4,Matches
161,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,30-016,1991,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
162,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,28-216,1992,21.6,4,8,2,25.0,0.37,0.09,0.25,1.00,18.9,0,2,2,3.2,1.7,0.21,+0.8,+0.3,Matches
163,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,23-036,1998,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
164,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,34-153,1986,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
165,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,35-039,1986,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
166,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,24-362,1996,1.6,0,2,1,50.0,1.26,0.63,0.00,0.00,8.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
167,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,24-362,1996,4.1,1,6,4,66.7,1.45,0.97,0.17,0.25,14.1,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches
168,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,24-353,1996,23.0,1,10,4,40.0,0.43,0.17,0.10,0.25,7.7,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches
169,Fernando\Fernando,br BRA,MF,Sevilla,33-298,1987,28.3,3,5,4,80.0,0.18,0.14,0.60,0.75,14.9,0,0,0,0.7,0.7,0.13,+2.3,+2.3,Matches
170,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,33-048,1988,27.1,2,28,13,46.4,1.03,0.48,0.07,0.15,19.7,1,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
171,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,30-066,1991,3.3,1,7,2,28.6,2.10,0.60,0.14,0.50,11.2,0,0,0,1.4,1.4,0.21,-0.4,-0.4,Matches
172,Fidel\Fidel,es ESP,MFDF,Elche,31-204,1989,25.6,6,16,7,43.8,0.62,0.27,0.25,0.57,21.0,3,2,3,4.1,1.9,0.12,+1.9,+2.1,Matches
173,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,24-270,1996,2.7,1,1,1,100.0,0.37,0.37,1.00,1.00,3.0,0,0,0,0.8,0.8,0.83,+0.2,+0.2,Matches
174,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,22-241,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
175,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,31-227,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
176,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,21-097,2000,7.2,0,5,3,60.0,0.69,0.41,0.00,0.00,11.8,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
177,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,28-057,1993,28.6,0,7,4,57.1,0.24,0.14,0.00,0.00,15.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
178,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,23-127,1998,13.0,0,1,0,0.0,0.08,0.00,0.00,,6.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
179,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,24-088,1997,23.3,4,26,10,38.5,1.12,0.43,0.15,0.40,17.1,0,0,0,3.3,3.3,0.13,+0.7,+0.7,Matches
180,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,30-075,1991,8.1,0,4,1,25.0,0.50,0.12,0.00,0.00,11.2,0,0,0,1.2,1.2,0.31,-1.2,-1.2,Matches
181,Javi Galán\Javi-Galan,es ESP,DF,Huesca,26-181,1994,34.1,1,7,1,14.3,0.21,0.03,0.14,1.00,24.0,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
182,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,34-249,1986,8.2,0,13,4,30.8,1.58,0.49,0.00,0.00,12.4,0,0,0,1.3,1.3,0.10,-1.3,-1.3,Matches
183,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,34-010,1987,12.0,4,15,7,46.7,1.25,0.58,0.27,0.57,14.0,0,0,0,3.4,3.4,0.23,+0.6,+0.6,Matches
184,Aleix García\Aleix-Garcia,es ESP,MF,Eibar,23-325,1997,4.9,0,5,2,40.0,1.03,0.41,0.00,0.00,19.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
185,Borja García\Borja-Garcia,es ESP,MFFW,Huesca,30-198,1990,12.3,1,13,2,15.4,1.05,0.16,0.08,0.50,19.0,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
186,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,30-360,1990,21.3,0,7,1,14.3,0.33,0.05,0.00,0.00,19.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
187,David García\David-Garcia,es ESP,DF,Osasuna,27-094,1994,34.0,1,14,1,7.1,0.41,0.03,0.07,1.00,11.1,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
188,Manu García\Manu-Garcia,es ESP,MF,Alavés,35-023,1986,11.5,0,8,1,12.5,0.70,0.09,0.00,0.00,15.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
189,Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,34-312,1986,19.4,5,44,12,27.3,2.27,0.62,0.07,0.25,17.3,0,2,3,6.4,4.1,0.09,-1.4,-1.1,Matches
190,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,32-019,1989,5.6,1,3,3,100.0,0.54,0.54,0.33,0.33,18.8,1,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
191,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27-309,1993,30.2,3,30,7,23.3,0.99,0.23,0.07,0.29,22.9,2,1,1,3.4,2.7,0.09,-0.4,-0.7,Matches
192,Sergi García\Sergi-Garcia,es ESP,MF,Alavés,22-035,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
193,Unai García\Unai-Garcia,es ESP,DF,Osasuna,29-105,1992,13.2,0,4,0,0.0,0.30,0.00,0.00,,15.0,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
194,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,30-176,1990,19.6,0,15,4,26.7,0.77,0.20,0.00,0.00,18.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
195,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,29-137,1992,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
196,David Gil\David-Gil,es ESP,GK,Cádiz,27-128,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
197,Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,30-000,1991,4.5,2,5,2,40.0,1.11,0.44,0.40,1.00,10.6,0,0,0,1.4,1.4,0.28,+0.6,+0.6,Matches
198,Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22-293,1998,17.8,2,28,7,25.0,1.58,0.39,0.07,0.29,15.5,0,0,0,3.0,3.0,0.11,-1.0,-1.0,Matches
199,Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,31-189,1989,3.9,0,3,0,0.0,0.76,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
200,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,24-278,1996,29.0,7,52,23,44.2,1.79,0.79,0.13,0.30,16.7,4,0,0,6.7,6.7,0.13,+0.3,+0.3,Matches
201,Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26-330,1994,28.4,4,24,10,41.7,0.84,0.35,0.13,0.30,16.5,0,1,1,4.2,3.5,0.15,-0.2,-0.5,Matches
202,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Sevilla,33-093,1988,10.0,2,17,9,52.9,1.71,0.90,0.12,0.22,21.2,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
203,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,29-052,1992,8.0,0,1,0,0.0,0.13,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
204,Sergio Gómez\Sergio-Gomez,es ESP,MFFW,Huesca,20-257,2000,7.8,0,8,2,25.0,1.03,0.26,0.00,0.00,22.8,2,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
205,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,32-070,1989,16.4,0,3,1,33.3,0.18,0.06,0.00,0.00,9.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
206,Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30-360,1990,25.1,1,5,2,40.0,0.20,0.08,0.20,0.50,11.9,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
207,Diego González\Diego-Gonzalez,es ESP,DF,Elche,26-111,1995,14.2,1,6,2,33.3,0.42,0.14,0.17,0.50,8.4,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
208,Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,24-005,1997,1.0,0,1,0,0.0,1.00,0.00,0.00,,7.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
209,Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,20-060,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
210,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,24-288,1996,25.5,0,9,2,22.2,0.35,0.08,0.00,0.00,21.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
211,Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,30-059,1991,27.9,12,67,29,43.3,2.40,1.04,0.16,0.38,14.6,0,1,2,13.8,12.3,0.19,-1.8,-1.3,Matches
212,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,34-233,1986,13.9,1,9,5,55.6,0.65,0.36,0.11,0.20,23.0,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
213,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29-355,1991,19.6,1,33,8,24.2,1.68,0.41,0.00,0.00,16.9,1,1,2,5.0,3.4,0.10,-4.0,-3.4,Matches
214,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MF,Sevilla,29-184,1991,10.6,0,7,1,14.3,0.66,0.09,0.00,0.00,30.8,2,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
215,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,24-171,1996,24.6,5,50,14,28.0,2.04,0.57,0.10,0.36,21.6,3,0,0,3.4,3.4,0.07,+1.6,+1.6,Matches
216,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,23-316,1997,22.1,1,8,2,25.0,0.36,0.09,0.13,0.50,22.4,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
217,John Guidetti\John-Guidetti,se SWE,FWMF,Alavés,29-034,1992,1.5,1,5,1,20.0,3.44,0.69,0.20,1.00,14.4,0,0,0,1.1,1.1,0.22,-0.1,-0.1,Matches
218,Hugo Guillamón\Hugo-Guillamon,es ESP,DF,Valencia,21-108,2000,21.1,1,8,1,12.5,0.38,0.05,0.13,1.00,10.6,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
219,Jon Guridi\Jon-Guridi,es ESP,MF,Real Sociedad,26-080,1995,9.2,0,8,2,25.0,0.87,0.22,0.00,0.00,20.1,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
220,Raúl Guti\Raul-Guti,es ESP,MF,Elche,24-140,1996,30.8,2,26,5,19.2,0.84,0.16,0.08,0.40,21.3,0,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
221,Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,30-130,1991,20.3,2,6,4,66.7,0.30,0.20,0.33,0.50,7.7,0,0,0,1.5,1.5,0.25,+0.5,+0.5,Matches
222,Miguel Gutiérrez\Miguel-Gutierrez,es ESP,DF,Real Madrid,19-296,2001,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
223,Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,25-260,1995,9.4,4,32,13,40.6,3.41,1.38,0.13,0.31,17.3,1,0,0,3.5,3.5,0.11,+0.5,+0.5,Matches
224,Eden Hazard\Eden-Hazard,be BEL,FWMF,Real Madrid,30-132,1991,5.9,3,10,5,50.0,1.69,0.85,0.30,0.60,15.0,0,0,0,1.6,1.6,0.16,+1.4,+1.4,Matches
225,Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25-335,1995,28.0,1,18,5,27.8,0.64,0.18,0.06,0.20,20.3,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
226,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,32-057,1989,22.5,0,2,0,0.0,0.09,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
227,Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,31-030,1990,7.5,0,7,1,14.3,0.93,0.13,0.00,0.00,18.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
228,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27-348,1993,32.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
229,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,23-132,1998,25.7,3,31,7,22.6,1.21,0.27,0.10,0.43,17.4,0,0,0,1.9,1.9,0.06,+1.1,+1.1,Matches
