Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
145,Emerson\Emerson,br BRA,DF,Betis,22-125,1999,32.2,9,1,0,54,68,3,72,67,57,0,1,1,247,56,37,60.2,Matches
146,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,23-352,1997,24.7,2,0,0,27,35,25,17,8,16,1,0,0,96,98,78,55.7,Matches
147,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,31-082,1990,14.8,1,0,0,30,18,8,7,10,13,1,0,0,83,88,98,47.3,Matches
148,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,25-234,1995,4.0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,,Matches
149,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,23-056,1998,9.5,5,1,0,20,16,6,4,8,13,1,0,0,62,17,33,34.0,Matches
150,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,31-259,1989,5.5,3,0,0,8,7,0,12,5,8,0,0,0,38,9,5,64.3,Matches
151,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,29-134,1992,28.9,6,0,0,32,21,3,61,46,58,0,0,0,249,38,43,46.9,Matches
152,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,22-137,1999,2.6,1,0,0,3,0,0,2,5,6,0,0,0,18,2,3,40.0,Matches
153,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,23-118,1998,13.0,1,0,0,24,20,6,61,29,24,1,1,0,132,11,15,42.3,Matches
154,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,33-200,1987,9.8,3,0,0,14,2,0,0,10,6,0,0,1,112,18,24,42.9,Matches
155,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,24-291,1996,27.3,4,0,0,29,28,0,36,32,27,0,0,0,333,36,42,46.2,Matches
156,Fali\Fali,es ESP,DFMF,Cádiz,27-280,1993,28.3,11,0,0,20,25,0,13,24,21,0,1,0,175,44,32,57.9,Matches
157,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,18-200,2002,4.8,1,0,0,6,11,2,5,1,3,2,0,0,20,2,4,33.3,Matches
158,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27-305,1993,28.1,5,1,0,78,90,13,53,11,35,3,0,0,151,17,73,18.9,Matches
159,Felipe\Felipe,br BRA,DF,Atlético Madrid,32-003,1989,21.9,7,0,0,29,13,0,2,41,21,0,0,1,209,85,19,81.7,Matches
160,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,21-190,1999,17.2,5,0,0,14,46,6,13,8,6,1,0,0,92,23,29,44.2,Matches
161,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,30-016,1991,29.0,0,0,0,0,2,0,0,0,0,0,0,0,148,0,1,0.0,Matches
162,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,28-216,1992,21.6,1,0,0,11,31,1,41,21,15,0,0,0,186,22,28,44.0,Matches
163,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,23-036,1998,21.0,0,0,0,0,2,0,0,0,0,0,0,0,102,0,0,,Matches
164,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,34-153,1986,16.0,0,0,0,0,3,0,0,0,0,0,0,0,86,0,0,,Matches
165,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,35-039,1986,3.5,1,0,0,5,1,0,0,9,4,0,0,0,38,2,5,28.6,Matches
166,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,24-362,1996,1.6,0,0,0,4,7,0,2,1,0,0,0,0,9,5,6,45.5,Matches
167,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,24-362,1996,4.1,5,0,0,18,9,0,1,3,1,0,1,0,22,14,19,42.4,Matches
168,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,24-353,1996,23.0,8,0,0,28,13,3,1,33,18,1,1,0,197,65,46,58.6,Matches
169,Fernando\Fernando,br BRA,MF,Sevilla,33-298,1987,28.3,6,0,0,40,16,1,2,40,52,0,0,0,289,58,39,59.8,Matches
170,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,33-048,1988,27.1,4,0,0,50,37,15,107,18,13,0,0,0,196,12,24,33.3,Matches
171,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,30-066,1991,3.3,5,1,1,22,6,1,1,0,2,0,0,0,12,12,14,46.2,Matches
172,Fidel\Fidel,es ESP,MFDF,Elche,31-204,1989,25.6,8,0,0,28,42,5,73,13,30,0,0,0,156,12,24,33.3,Matches
173,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,24-270,1996,2.7,1,0,0,6,6,2,4,3,2,0,0,0,15,1,2,33.3,Matches
174,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,22-241,1998,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,Matches
175,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,31-227,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
176,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,21-097,2000,7.2,3,1,1,17,3,1,7,9,7,0,0,0,56,12,9,57.1,Matches
177,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,28-057,1993,28.6,7,0,0,28,22,3,33,32,27,0,1,1,208,23,40,36.5,Matches
178,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,23-127,1998,13.0,6,0,0,20,14,0,2,19,26,0,1,0,129,35,22,61.4,Matches
179,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,24-088,1997,23.3,3,0,0,35,28,3,68,24,31,2,0,0,115,15,31,32.6,Matches
180,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,30-075,1991,8.1,1,0,0,7,3,0,2,14,3,0,0,0,70,24,12,66.7,Matches
181,Javi Galán\Javi-Galan,es ESP,DF,Huesca,26-181,1994,34.1,5,0,0,62,97,5,104,28,74,0,0,0,283,19,35,35.2,Matches
182,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,34-249,1986,8.2,1,0,0,27,12,3,8,1,6,0,0,0,45,77,60,56.2,Matches
183,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,34-010,1987,12.0,0,0,0,9,8,9,2,0,6,0,0,0,36,9,28,24.3,Matches
184,Aleix García\Aleix-Garcia,es ESP,MF,Eibar,23-325,1997,4.9,1,0,0,4,1,0,3,4,4,0,0,0,41,6,2,75.0,Matches
185,Borja García\Borja-Garcia,es ESP,MFFW,Huesca,30-198,1990,12.3,0,0,0,3,33,1,8,9,10,0,0,0,93,9,11,45.0,Matches
186,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,30-360,1990,21.3,8,0,0,29,22,0,5,29,23,0,1,0,261,47,38,55.3,Matches
187,David García\David-Garcia,es ESP,DF,Osasuna,27-094,1994,34.0,8,0,0,45,24,1,4,51,27,0,1,1,423,169,52,76.5,Matches
188,Manu García\Manu-Garcia,es ESP,MF,Alavés,35-023,1986,11.5,9,1,1,18,26,1,6,13,17,0,0,0,96,43,32,57.3,Matches
189,Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,34-312,1986,19.4,8,2,1,52,50,11,17,10,21,0,0,0,123,110,72,60.4,Matches
190,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,32-019,1989,5.6,2,0,0,5,8,1,20,5,3,0,0,0,57,18,13,58.1,Matches
191,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27-309,1993,30.2,2,0,0,42,41,6,91,27,39,1,0,0,200,59,69,46.1,Matches
192,Sergi García\Sergi-Garcia,es ESP,MF,Alavés,22-035,1999,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
193,Unai García\Unai-Garcia,es ESP,DF,Osasuna,29-105,1992,13.2,3,0,0,13,4,0,3,15,11,0,0,1,131,18,23,43.9,Matches
194,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,30-176,1990,19.6,3,1,0,18,9,0,30,25,19,1,1,0,111,33,34,49.3,Matches
195,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,29-137,1992,7.0,3,0,0,0,1,0,0,0,0,0,0,0,40,0,0,,Matches
196,David Gil\David-Gil,es ESP,GK,Cádiz,27-128,1994,3.0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,,Matches
197,Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,30-000,1991,4.5,0,0,0,8,6,4,1,3,2,0,0,0,18,20,29,40.8,Matches
198,Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22-293,1998,17.8,3,0,0,29,38,12,10,3,5,1,0,0,74,13,54,19.4,Matches
199,Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,31-189,1989,3.9,0,0,0,2,1,1,14,2,3,0,0,0,21,6,6,50.0,Matches
200,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,24-278,1996,29.0,7,1,1,52,69,32,15,2,9,4,0,0,96,111,102,52.1,Matches
201,Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26-330,1994,28.4,1,0,0,20,32,9,45,21,15,0,1,0,192,11,38,22.4,Matches
202,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Sevilla,33-093,1988,10.0,0,0,0,15,22,2,23,19,7,1,0,0,55,6,9,40.0,Matches
203,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,29-052,1992,8.0,2,0,0,1,1,0,0,3,3,0,0,0,51,23,22,51.1,Matches
204,Sergio Gómez\Sergio-Gomez,es ESP,MFFW,Huesca,20-257,2000,7.8,1,0,0,6,7,1,29,18,15,0,0,0,46,0,9,0.0,Matches
205,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,32-070,1989,16.4,7,1,0,30,27,2,4,24,50,0,1,0,199,35,21,62.5,Matches
206,Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30-360,1990,25.1,8,0,0,31,17,0,0,29,15,0,0,0,208,58,43,57.4,Matches
207,Diego González\Diego-Gonzalez,es ESP,DF,Elche,26-111,1995,14.2,5,0,0,19,4,0,1,15,12,0,0,1,107,37,20,64.9,Matches
208,Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,24-005,1997,1.0,0,0,0,1,1,0,0,2,0,0,0,0,13,2,3,40.0,Matches
209,Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,20-060,2001,0.5,1,0,0,4,1,0,0,0,0,0,0,0,6,1,1,50.0,Matches
210,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,24-288,1996,25.5,3,0,0,37,27,0,59,25,34,0,1,0,198,16,33,32.7,Matches
211,Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,30-059,1991,27.9,4,0,0,13,33,13,29,12,26,2,0,0,128,17,17,50.0,Matches
212,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,34-233,1986,13.9,3,0,0,19,10,0,6,21,16,0,0,0,156,21,23,47.7,Matches
213,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29-355,1991,19.6,5,0,0,39,39,12,17,9,6,1,0,0,94,59,102,36.6,Matches
214,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MF,Sevilla,29-184,1991,10.6,8,0,0,19,7,0,3,12,16,0,0,0,73,21,15,58.3,Matches
215,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,24-171,1996,24.6,3,1,0,27,64,4,54,18,17,0,0,0,131,13,19,40.6,Matches
216,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,23-316,1997,22.1,5,0,0,28,16,1,4,23,29,0,0,0,264,30,28,51.7,Matches
217,John Guidetti\John-Guidetti,se SWE,FWMF,Alavés,29-034,1992,1.5,1,0,0,6,0,1,1,0,0,0,0,0,7,6,3,66.7,Matches
218,Hugo Guillamón\Hugo-Guillamon,es ESP,DF,Valencia,21-108,2000,21.1,7,0,0,32,26,1,0,21,14,0,1,1,180,59,42,58.4,Matches
219,Jon Guridi\Jon-Guridi,es ESP,MF,Real Sociedad,26-080,1995,9.2,2,0,0,12,14,0,3,9,12,1,0,0,69,14,18,43.8,Matches
220,Raúl Guti\Raul-Guti,es ESP,MF,Elche,24-140,1996,30.8,3,1,0,35,52,1,12,41,25,0,0,0,266,15,23,39.5,Matches
221,Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,30-130,1991,20.3,2,1,0,11,5,0,0,19,15,0,1,0,147,38,26,59.4,Matches
222,Miguel Gutiérrez\Miguel-Gutierrez,es ESP,DF,Real Madrid,19-296,2001,2.8,0,0,0,6,4,1,11,5,1,0,0,0,20,5,5,50.0,Matches
223,Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,25-260,1995,9.4,2,0,0,22,28,8,19,3,9,0,0,0,73,10,14,41.7,Matches
224,Eden Hazard\Eden-Hazard,be BEL,FWMF,Real Madrid,30-132,1991,5.9,0,0,0,2,19,3,6,4,0,0,0,0,27,3,5,37.5,Matches
225,Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25-335,1995,28.0,5,0,0,27,30,3,6,33,37,0,0,1,229,37,33,52.9,Matches
226,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,32-057,1989,22.5,3,1,0,21,20,0,2,44,21,0,0,0,231,80,32,71.4,Matches
227,Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,31-030,1990,7.5,2,0,0,9,7,1,3,9,13,0,0,0,89,20,15,57.1,Matches
228,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27-348,1993,32.9,2,0,0,1,10,0,0,0,0,0,1,1,225,0,0,,Matches
229,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,23-132,1998,25.7,7,0,0,70,59,5,14,26,41,1,1,0,269,126,116,52.1,Matches
230,Pablo Hervías\Pablo-Hervias,es ESP,DFMF,Valladolid,28-072,1993,13.3,1,0,0,8,16,0,79,16,17,0,0,0,119,10,12,45.5,Matches
231,Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,21-251,1999,1.6,0,0,0,3,3,0,2,0,1,0,0,0,9,0,0,,Matches
232,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,33-123,1988,10.3,4,0,0,15,9,0,1,5,13,0,0,0,94,20,19,51.3,Matches
233,Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,25-082,1996,0.3,0,0,0,1,0,0,3,1,1,0,0,0,3,0,1,0.0,Matches
234,Iglesias\Iglesias,es ESP,DFMF,Getafe,22-320,1998,5.7,2,0,0,13,16,0,13,11,15,0,0,0,44,9,10,47.4,Matches
235,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,28-122,1993,14.8,2,0,0,19,18,6,6,5,0,4,0,0,55,27,49,35.5,Matches
236,Ilaix\Ilaix,es ESP,MF,Barcelona,18-120,2003,5.4,1,0,0,13,19,0,2,8,8,0,0,0,38,11,7,61.1,Matches
237,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,31-072,1990,3.7,2,0,0,6,11,0,2,5,3,0,0,0,24,10,14,41.7,Matches
238,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,27-252,1993,17.6,9,0,0,27,5,1,2,15,18,0,0,0,129,47,32,59.5,Matches
239,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,32-351,1988,19.2,0,0,0,25,17,8,68,13,10,1,0,0,107,11,35,23.9,Matches
240,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,21-240,1999,25.0,4,0,0,23,33,22,21,4,10,3,0,0,71,36,64,36.0,Matches
241,Isco\Isco,es ESP,MFFW,Real Madrid,29-028,1992,9.7,1,0,0,17,17,0,18,5,8,0,0,0,51,5,13,27.8,Matches
242,Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,27-209,1993,13.9,4,0,0,12,14,3,26,16,6,0,0,0,126,8,13,38.1,Matches
243,Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,25-209,1995,12.7,4,0,0,14,2,3,34,22,12,0,0,0,87,29,14,67.4,Matches
244,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,26-103,1995,11.2,2,0,0,6,34,2,41,5,5,1,0,0,67,9,11,45.0,Matches
245,Jason\Jason,es ESP,MFDF,Valencia,26-317,1994,4.9,4,1,1,6,15,0,12,9,6,0,0,0,34,4,10,28.6,Matches
246,Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,23-168,1997,17.7,6,0,0,27,28,5,18,10,15,1,0,0,74,25,66,27.5,Matches
247,Joaquín\Joaquin,es ESP,FWMF,Betis,39-302,1981,14.3,2,0,0,10,12,2,36,14,5,0,0,0,80,14,21,40.0,Matches
248,John Joe\John-Joe,ie IRL,MFDF,Getafe,17-237,2003,0.7,0,0,0,2,0,0,0,1,1,0,0,0,7,1,3,25.0,Matches
249,Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,24-007,1997,34.2,5,0,0,25,43,5,20,34,25,0,1,0,297,45,27,62.5,Matches
250,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,30-265,1990,13.9,3,0,0,20,32,10,1,3,5,0,0,0,58,68,67,50.4,Matches
251,Jony\Jony,es ESP,MFFW,Osasuna,29-314,1991,9.6,0,0,0,10,7,1,51,11,6,0,0,0,68,8,8,50.0,Matches
252,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,26-317,1994,26.1,8,1,1,53,42,0,28,19,27,0,0,0,236,18,21,46.2,Matches
253,Josan\Josan,es ESP,MFDF,Elche,31-167,1989,20.6,3,0,0,23,27,1,64,20,26,0,0,0,136,13,8,61.9,Matches
254,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,29-177,1991,7.7,0,0,0,3,10,3,3,1,4,0,0,0,27,12,18,40.0,Matches
255,Joselu\Joselu,es ESP,FW,Alavés,31-053,1990,33.4,1,0,0,43,74,14,23,17,21,1,0,0,160,260,136,65.7,Matches
256,Josema\Josema,es ESP,DF,Elche,24-347,1996,21.6,3,0,0,22,18,1,22,34,28,0,0,0,148,37,31,54.4,Matches
257,Jota\Jota,es ESP,MF,Alavés,29-337,1991,15.5,5,1,1,18,4,2,22,16,14,0,0,0,107,9,18,33.3,Matches
258,Jota\Jota,pt POR,FW,Valladolid,22-050,1999,7.1,1,0,0,6,9,1,16,5,3,,,0,,,,,Matches
259,Luka Jović\Luka-Jovic,rs SRB,FWMF,Real Madrid,23-147,1997,1.7,0,0,0,2,1,2,1,0,0,0,0,0,7,3,4,42.9,Matches
260,Juanmi\Juanmi,es ESP,FWMF,Betis,27-364,1993,6.7,1,0,0,13,3,7,0,3,8,0,0,0,29,11,16,40.7,Matches
261,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,20-311,2000,21.3,3,0,0,27,54,8,47,8,24,1,1,0,110,6,15,28.6,Matches
262,Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,28-129,1993,28.4,6,0,0,34,24,0,3,47,40,0,1,0,259,51,33,60.7,Matches
263,Damian Kądzior\Damian-Kadzior,pl POL,FWMF,Eibar,28-337,1992,2.2,0,0,0,4,4,2,13,0,1,0,0,0,16,0,3,0.0,Matches
264,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,20-089,2001,13.1,1,0,0,14,39,2,14,2,13,0,0,0,72,8,27,22.9,Matches
265,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,19-272,2001,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0.0,Matches
266,Kenedy\Kenedy,br BRA,FWMF,Granada,25-100,1996,16.3,3,0,0,32,22,1,33,21,18,0,1,0,109,13,24,35.1,Matches
267,Kike\Kike,es ESP,FW,Eibar,31-175,1989,33.3,4,1,1,68,89,14,30,8,22,1,0,0,141,167,228,42.3,Matches
268,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,21-324,1999,0.3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0.0,Matches
269,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,27-273,1993,0.5,1,0,0,1,1,2,0,0,0,1,0,0,0,0,2,0.0,Matches
270,Kenan Kodro\Kenan-Kodro,ba BIH,FW,Valladolid,27-273,1993,5.1,1,0,0,8,6,2,0,4,0,1,0,0,16,22,29,43.1,Matches
271,Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,19-204,2001,0.2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,50.0,Matches
272,Koke\Koke,es ESP,MF,Atlético Madrid,29-131,1992,32.6,9,0,0,45,45,0,18,37,51,0,0,0,324,20,26,43.5,Matches
273,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,28-093,1993,4.9,1,0,0,8,10,0,1,4,10,0,0,0,41,5,6,45.5,Matches
274,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MFFW,Atlético Madrid,28-093,1993,6.7,4,0,0,18,13,0,0,9,20,0,0,0,82,7,8,46.7,Matches
275,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,25-318,1995,0.8,0,0,0,1,2,1,1,1,0,0,0,0,5,0,1,0.0,Matches
276,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,22-188,1998,32.1,4,0,0,20,22,3,13,39,22,0,2,0,302,112,66,62.9,Matches
277,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,31-135,1990,23.5,6,0,0,27,31,1,40,22,25,0,0,0,154,17,9,65.4,Matches
278,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,19-349,2001,3.3,2,1,1,3,12,0,10,2,3,0,0,0,25,1,3,25.0,Matches
279,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Getafe,19-349,2001,7.9,2,0,0,16,18,3,14,11,5,0,0,0,52,5,21,19.2,Matches
280,Kuki\Kuki,es ESP,MF,Valladolid,23-014,1998,0.3,0,0,0,1,0,0,1,0,1,0,0,0,3,1,1,50.0,Matches
281,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,31-195,1989,29.2,5,1,0,26,12,1,3,27,16,0,0,0,233,66,36,64.7,Matches
282,Diego Lainez\Diego-Lainez,mx MEX,FWMF,Betis,20-344,2000,9.2,4,0,0,12,25,2,19,15,8,0,0,0,59,10,8,55.6,Matches
283,Toni Lato\Toni-Lato,es ESP,DF,Valencia,23-179,1997,7.1,3,0,0,12,5,1,7,10,5,0,1,1,58,14,8,63.6,Matches
284,Lauti\Lauti,uy URU,MFFW,Celta Vigo,20-099,2001,0.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.0,Matches
285,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,24-189,1996,29.5,5,1,0,41,19,2,3,33,20,1,1,0,317,136,57,70.5,Matches
286,Jeremías Ledesma\Jeremias-Ledesma,ar ARG,GK,Cádiz,28-095,1993,32.0,0,0,0,1,4,0,0,0,0,0,1,0,172,0,0,,Matches
287,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Alavés,29-364,1991,32.5,10,0,0,33,16,2,5,55,26,0,1,0,299,105,49,68.2,Matches
288,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,28-015,1993,6.2,1,0,0,16,2,2,19,6,8,0,0,0,54,3,8,27.3,Matches
